dim,method,ndcg@10,ndcg@100,recall@10,recall@100,map
768,Base,61.84805249478603,62.109329588070835,98.30694810905892,99.62620932277925,49.154590253289335
384,PCA-White,60.93930522862841,61.09269040090033,99.05452946350044,99.84608619173262,47.595822961750386
384,Soft-White,60.92812621546708,61.09201887980993,99.05452946350044,99.8900615655233,47.58408721543145
384,Random,61.520080452130856,61.87118560641353,98.28496042216359,99.84608619173262,48.76936877302024
384,LPP,61.624539839473314,62.000580108143566,98.13104661389622,99.80211081794195,48.98515718067355
192,PCA-White,60.90990345317145,61.11485500173159,98.92260334212841,99.84608619173262,47.641564779527336
192,Soft-White,60.93461325203273,61.130924713237576,98.98856640281443,99.8900615655233,47.65471344322324
192,Random,61.23571498406503,61.69013787752425,97.71328056288479,99.75813544415128,48.63781194852244
192,LPP,59.74532491111611,60.63731248270271,95.3825857519789,99.47229551451187,47.76914334937277
96,PCA-White,61.03604322802691,61.312923452077094,98.68073878627969,99.93403693931398,47.97330428597779
96,Soft-White,61.134682447396685,61.42211844852745,98.636763412489,99.93403693931398,48.13175287447757
96,Random,59.957271193949325,60.5262656460149,96.50395778364116,99.23043095866315,47.37653939486554
96,LPP,47.50980102300083,51.6025054662116,78.84784520668426,97.47141600703605,38.143767961585304
48,PCA-White,58.13656175778529,59.726603735135754,92.12840809146877,99.23043095866315,46.90493193996561
48,Soft-White,57.563770542309015,59.285891958468504,91.33685136323659,99.18645558487246,46.49936920914132
48,Random,55.87795616834615,57.19838066081759,91.20492524186456,97.55936675461741,44.02697860397561
48,LPP,25.354773467034775,33.55058217541936,43.007915567282325,83.13544415127528,21.304485243304207
24,PCA-White,26.00256864850237,33.322330260228405,45.71240105540897,81.00263852242745,21.263289131440047
24,Soft-White,23.901827926543568,31.471950309858588,42.41424802110818,78.84784520668426,19.61451881916162
24,Random,38.1897002665462,42.78903362456503,64.09410729991205,86.05980650835532,30.59225614029296
24,LPP,9.109711411676502,14.892298848152791,15.743183817062445,45.71240105540897,7.998224490611512
12,PCA-White,2.2385496639281124,6.215779680634477,3.913808267370272,25.15391380826737,2.319706006173236
12,Soft-White,2.2332387526746196,6.017495042754005,3.95778364116095,24.3183817062445,2.2615975146931446
12,Random,14.837393953105119,21.601570734840287,28.01231310466139,61.301671064204044,11.986701655276478
12,LPP,3.4979555421760495,6.088169464012619,6.288478452066842,19.898856640281444,3.0280529767942514
6,PCA-White,0.3229297596835773,1.2195386706418956,0.5277044854881267,5.233069481090589,0.4017959543341592
6,Soft-White,0.32540265662119994,1.2188760766015918,0.5277044854881267,5.189094107299912,0.4058856517837587
6,Random,2.7593769021948202,6.954518884332524,5.6948109058927,27.55057167985928,2.5365189659939826
6,LPP,1.7639987568019722,3.5113257821366934,3.715919085312225,12.906772207563764,1.453994687862738
384,NCWP,60.762873442145036,60.93901176844126,98.96657871591908,99.8900615655233,47.41296033004511
192,NCWP,60.58611632764319,60.78563060732017,98.79067722075638,99.69217238346526,47.26589431317577
96,NCWP,59.97923785958379,60.311182598342214,98.08707124010554,99.67018469656992,46.75103405820595
48,NCWP,57.480065680598194,58.459833812831306,94.87686895338611,99.40633245382587,44.748799570007684
24,NCWP,50.22142756949361,52.599001544104915,84.08091468777485,95.18469656992085,39.250078717820344
12,NCWP,25.32657036618824,32.11569630425874,46.04221635883905,78.43007915567283,20.09218798223679
6,NCWP,5.511598537237773,12.40565969211382,11.587510993843447,46.921723834652596,4.828389303739067
